,Place_name,City,State,Walk Score,Transit Score,Bike Score,Population_2021,Population_2022_Census,City_Population_Stats_adjusted_land_area__acres_,City_Population_Stats_density__people_acre_,City_Population_Stats_density_classification,City_Population_Stats_2000_population,City_Population_Stats_population_growth,City_Population_Stats_population_growth_classification,Parkland_Stats_by_City_total_acres,Parkland_Stats_by_City__natural,Parkland_Stats_by_City__designed,Parkland_Stats_by_City_total_park_units,Parkland_Stats_by_City_parks_as__city_area,Walkable_Park_Access_all_residents,Walkable_Park_Access_black,Walkable_Park_Access_hispanic_latinx,Walkable_Park_Access_asian,Walkable_Park_Access_other_race,Walkable_Park_Access_multiple_races,Walkable_Park_Access_pacific_islander,Walkable_Park_Access_american_indian_alaska_native,Walkable_Park_Access_all_people_of_color,Walkable_Park_Access_white,Walkable_Park_Access_low__75_city_income_,Walkable_Park_Access_middle,Walkable_Park_Access_high__125_city_median_income_,Walkable_Park_Access_children__u19_,Walkable_Park_Access_adults__19_64_,Walkable_Park_Access_seniors__65_,Distribution_of_Park_Space_low_income,Distribution_of_Park_Space_high_income,Distribution_of_Park_Space_black,Distribution_of_Park_Space_hispanic_latnix,Distribution_of_Park_Space_asian,Distribution_of_Park_Space_other_race,Distribution_of_Park_Space_multiple_races,Distribution_of_Park_Space_pacific_islander,Distribution_of_Park_Space_american_indian_alaska_native,Distribution_of_Park_Space_white,Distribution_of_Park_Space_neighborhoods_of_color,Number_of_Fields_and_Diamonds,Number_of_Courts,Number_of_Tennis_courts,Number_of_Pickleball_courts,Number_of_Pickleball_courts_overlay_tennis,Number_of_Standalone_Pickleball,Number_of_Volleyball_nets,Number_of_basketball_hoops_at_park_sites,Number_of_basketball_hoops_at_community_schoolyards,Number_of_Beaches,Number_of_Community_Garden_Sites,Number_of_Community_Garden_Plots,Number_of_Cooling_Centers,Number_of_Dog_Parks,Number_of_Drinking_fountains,Number_of_Playgrounds,Number_of_Rec_Centers,Number_of_senior_centers,Number_of_Restrooms_Freestanding_permanent,Number_of_Restrooms_In_park_buildings,Number_of_Restrooms_Semi_permanent,Number_of_Skate_parks,Number_of_Splashpads,Number_of_Swimming_pools,Number_of_Disc_Golf_Courses,Trail_Miles_Improved_Trails,Trail_Miles_Nature_trails,Number_of_Tracks_At_Park_Sites,Number_of_Tracks_At_community_schoolyards,Number_of_Exercise_Zones,Miles_of_car_free_roadways_in_parks,Permanent_car_free_roadways
80,"Memphis, TN",Memphis,TN,35.0,22.2,41.2,646889,631187.0,184089.0,3.428705680404587,Low,649845.0,-0.028711461964006802,Limited or Decline,11162.95,0.1446696437769586,0.8553303562230413,203,0.06063887576118074,0.45578728723854345,0.4678829931129903,0.3715655420940206,0.4181045694962282,0.42597821702299316,0.46265335578542216,0.42142857142857143,0.4181045694962282,0.45402800005827276,0.4615927868627653,0.5099846070641095,0.4369803583261443,0.4404381031012952,0.44915146411065804,0.457936036175416,0.45907093939785504,-0.11407124677337843,0.02804702544513793,0.07839098670078304,-0.5203839966405457,nan,nan,-0.4117011192868387,nan,nan,0.38158363591006905,0.22223339899599903,99,7,81.0,0.0,0.0,0.0,6.0,163.0,6.0,2.0,2.0,6.0,0.0,6.0,13.0,112.0,6.0,35.0,48.0,0.0,48.0,2.0,8.0,18.0,1.0,90.5,4.5,69.0,2.0,6.0,1.0,1.0
81,"Nashville/Davidson, TN",Nashville,TN,28.8,21.7,29.7,601222,714169.0,299313.0,2.386027335932619,Low,545549.0,0.30908314376893736,Medium Fast,26199,0.7056376197564792,0.29436238024352074,309,0.08753044471840515,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,68,107.0,26.0,0.0,26.0,33.0,269.0,0.0,5.0,3.0,0.0,0.0,10.0,0.0,164.0,10.0,27.0,65.0,0.0,13.0,2.0,4.0,10.0,5.0,131.5,100.0,35.0,0.0,8.0,0.0,0.0
82,"Des Moines, IA",Des Moines,IA,45.0,30.1,39.4,203433,218206.0,55103.0,3.959965882075386,Medium-Low,198688.0,0.098234417780641,Limited or Decline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,91,56.0,45.0,40.0,5.0,32.0,52.0,16.0,1.25,3.0,239.0,1.0,4.0,62.0,71.0,2.0,15.0,56.0,0.0,4.0,3.0,24.0,5.0,4.0,120.4,105.7,21.0,3.0,4.0,0.0,0.0
83,"Louisville, KY",Louisville,KY,34.3,27.3,43.3,597337,642889.0,204501.0,3.1436961188453845,Low,597337.0,0.07625846046703955,Limited or Decline,17922,0.6345273964959268,0.3654726035040732,133,0.08763771326301582,0.3749232871051406,0.5199282275828362,0.2836798797525678,0.28798784031472124,0.42149272220501705,0.3795111769458659,0.2769857433808554,0.28798784031472124,0.43428159884767736,0.33563598907434267,0.490384439610259,0.3721464245393138,0.3037090110544534,0.3643899651335264,0.3840337238010191,0.35853939301999765,0.1099502995287549,0.20734581342594205,0.0803996415009931,-0.3931009046602114,-0.20193272630137227,nan,-0.1351692241099507,nan,nan,2.042917371714195,-0.09113961558012385,,,147.0,45.0,0.0,45.0,2.0,174.0,0.0,0.0,9.0,560.0,0.0,8.0,141.0,209.0,6.0,18.0,218.0,0.0,15.0,0.0,39.0,5.0,3.0,38.0,125.0,4.0,0.0,3.0,0.0,0.0
84,"Lexington/Fayette, KY",Lexington,KY,34.3,26.6,45.7,295803,327130.0,181022.0,1.8071284153307332,Low,260512.0,0.25571950620316913,Medium Fast,4447.4,0.4090884561766426,0.5909115438233575,104,0.0245682845179039,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,76,53.0,15.0,2.0,13.0,7.0,111.0,21.0,0.0,8.0,0.0,4.0,7.0,146.0,104.0,1.0,10.0,44.0,0.0,30.0,4.0,4.0,6.0,4.0,72.03,15.39,27.0,0.0,5.0,0.0,0.0
85,"Honolulu, HI",Honolulu,HI,65.7,56.3,51.0,337256,1020829.0,377784.0,2.702149905766258,Low,875784.0,0.1656173211659496,Medium Slow,64795,0.9078323944748823,0.09216760552511769,450,0.17151335154479808,0.7235591133246789,0.5193179476612405,0.6482077051926298,0.7891686946544402,0.6469868461303151,0.7142320839343226,0.7482037950586453,0.7891686946544402,0.744667165631492,0.620137299771167,0.7957613696357191,0.7452775934527759,0.7225960058548966,0.6834147643726137,0.7205714937216351,0.7812259277138133,0.06371553805786889,0.059057576401365,nan,-0.3757168561828669,-0.30831300491678326,nan,-0.05648472335149535,0.09288392395775591,nan,0.04369687279617107,-0.28843748142936143,356,585,202.0,173.0,26.0,147.0,186.0,371.0,4.0,0.0,11.0,1229.0,0.0,8.0,261.0,156.0,0.0,82.0,241.0,0.0,16.0,13.0,0.0,21.0,1.0,13.0,2.0,0.0,0.0,13.0,0.0,0.0
86,"Las Vegas, NV",Las Vegas,NV,42.0,35.5,46.5,583756,649600.0,90785.0,7.155367076058821,Medium-High,478434.0,0.3577630352357901,Medium Fast,16010,0.8410993129294191,0.1589006870705809,286,0.17635071873106792,0.7362509861422116,0.7371635783815758,0.7696449010159816,0.7368006851376062,0.7362214816713664,0.7274730440403091,0.7386801541425819,0.7368006851376062,0.7544043646379576,0.70878755862908,0.7400406413291054,0.7283467438072782,0.7165660051768766,0.7574863374341826,0.7408590650901135,0.6855992844364938,-0.24405002873819726,0.3911178699552249,-0.11763202408950402,-0.11882620830878687,0.17647107304598508,nan,0.19937794210414395,nan,nan,0.018997388528573023,0.12596353917512904,,,59.0,26.0,0.0,26.0,29.0,99.0,932.0,0.0,7.0,124.0,0.0,25.0,252.0,906.0,0.0,23.0,102.0,0.0,0.0,13.0,34.0,17.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"Las Vegas, NV",Las Vegas,NV,42.0,35.5,46.5,583756,649600.0,90785.0,7.155367076058821,Medium-High,478434.0,0.3577630352357901,Medium Fast,16010,0.8410993129294191,0.1589006870705809,286,0.17635071873106792,0.7362509861422116,0.7371635783815758,0.7696449010159816,0.7368006851376062,0.7362214816713664,0.7274730440403091,0.7386801541425819,0.7368006851376062,0.7544043646379576,0.70878755862908,0.7400406413291054,0.7283467438072782,0.7165660051768766,0.7574863374341826,0.7408590650901135,0.6855992844364938,-0.24405002873819726,0.3911178699552249,-0.11763202408950402,-0.11882620830878687,0.17647107304598508,nan,0.19937794210414395,nan,nan,0.018997388528573023,0.12596353917512904,,,59.0,26.0,0.0,26.0,29.0,99.0,932.0,0.0,7.0,124.0,0.0,25.0,252.0,906.0,0.0,23.0,102.0,0.0,0.0,13.0,34.0,17.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"Henderson, NV",Henderson,NV,30.0,24.6,43.5,257729,331701.0,67195.0,4.936394076940249,Medium-Low,176048.0,0.884150913387258,Very Fast,5504,0.7569040697674418,0.24309593023255813,71,0.08191085646253442,0.7510137293894931,0.7599369085173502,0.7669204532596221,0.728125397431006,0.7578947368421053,0.7621853729843314,0.7720033528918693,0.728125397431006,0.7567771716323961,0.7467213413712791,0.7452393664353087,0.7567207878626564,0.7378797464268654,0.7723987291501191,0.7620136232154521,0.6947232211372083,-0.10540227329432073,-0.13818028909322844,-0.18606953670414073,-0.07933203891335483,-0.32104132926308093,nan,-0.21620770379152443,nan,nan,0.25949546725055406,-0.12921500231826144,,150,56.0,31.0,19.0,12.0,30.0,287.0,0.0,0.0,1.0,0.0,0.0,17.0,225.0,91.0,0.0,8.0,81.0,0.0,0.0,7.0,19.0,13.0,0.0,308.0,0.0,34.0,0.0,5.0,0.0,0.0
89,"Reno, NV",Reno,NV,40.2,24.2,52.0,225221,273593.0,66234.0,4.130703264184557,Medium-Low,180658.0,0.5144250462199293,Very Fast,3390,0.763716814159292,0.23628318584070795,87,0.051182172298215416,0.7587699189264747,0.7693384223918575,0.7642754683628671,0.7641509433962265,0.7877770315648086,0.7705782888062225,0.7906735751295336,0.7641509433962265,0.7664253127808115,0.7528908175572919,0.8025263614431705,0.7448364199178097,0.7444878926401204,0.7585350713842334,0.7630807136469662,0.7428801021011084,-0.4802899282705059,0.24767881999867902,-0.4802899282705059,-0.5750780673922522,-0.15876518272362228,nan,-0.5194242742237742,nan,nan,1.141775569875036,-0.5655409650074827,78,,52.0,20.0,0.0,20.0,0.0,95.0,0.0,0.0,3.0,86.0,0.0,5.0,73.0,77.0,0.0,4.0,59.0,0.0,0.0,9.0,8.0,4.0,1.0,78.0,0.0,0.0,0.0,16.0,0.0,0.0
90,"Las Vegas, NV",North Las Vegas,NV,33.7,33.3,48.5,216961,649600.0,90785.0,7.155367076058821,Medium-High,478434.0,0.3577630352357901,Medium Fast,16010,0.8410993129294191,0.1589006870705809,286,0.17635071873106792,0.7362509861422116,0.7371635783815758,0.7696449010159816,0.7368006851376062,0.7362214816713664,0.7274730440403091,0.7386801541425819,0.7368006851376062,0.7544043646379576,0.70878755862908,0.7400406413291054,0.7283467438072782,0.7165660051768766,0.7574863374341826,0.7408590650901135,0.6855992844364938,-0.24405002873819726,0.3911178699552249,-0.11763202408950402,-0.11882620830878687,0.17647107304598508,nan,0.19937794210414395,nan,nan,0.018997388528573023,0.12596353917512904,,,59.0,26.0,0.0,26.0,29.0,99.0,932.0,0.0,7.0,124.0,0.0,25.0,252.0,906.0,0.0,23.0,102.0,0.0,0.0,13.0,34.0,17.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
91,"Las Vegas, NV",North Las Vegas,NV,33.7,33.3,48.5,216961,649600.0,90785.0,7.155367076058821,Medium-High,478434.0,0.3577630352357901,Medium Fast,16010,0.8410993129294191,0.1589006870705809,286,0.17635071873106792,0.7362509861422116,0.7371635783815758,0.7696449010159816,0.7368006851376062,0.7362214816713664,0.7274730440403091,0.7386801541425819,0.7368006851376062,0.7544043646379576,0.70878755862908,0.7400406413291054,0.7283467438072782,0.7165660051768766,0.7574863374341826,0.7408590650901135,0.6855992844364938,-0.24405002873819726,0.3911178699552249,-0.11763202408950402,-0.11882620830878687,0.17647107304598508,nan,0.19937794210414395,nan,nan,0.018997388528573023,0.12596353917512904,,,59.0,26.0,0.0,26.0,29.0,99.0,932.0,0.0,7.0,124.0,0.0,25.0,252.0,906.0,0.0,23.0,102.0,0.0,0.0,13.0,34.0,17.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"North Las Vegas, NV",North Las Vegas,NV,33.7,33.3,48.5,216961,276199.0,64896.0,4.256025024654832,Medium-Low,115489.0,1.3915611010572435,Very Fast,16705,0.9639030230469919,0.03609697695300808,35,0.257411858974359,0.5949731910774685,0.5806891443769253,0.6529479275095418,0.528065364597907,0.5397435897435897,0.5432290261667116,0.5409107737874861,0.528065364597907,0.6114766378327313,0.54279503668146,0.6359614254605787,0.570482128938871,0.5419074786059779,0.6113476348283466,0.5934711723273993,0.5543933054393305,-0.5125790573954752,-0.06875649754567259,-0.6320670788198428,-0.5786011611360107,-0.006125924262241789,nan,-0.13047482898075635,nan,nan,-0.3950499980101807,0.13791037586883803,35,50,17.0,3.0,3.0,0.0,11.0,172.0,0.0,0.0,1.0,37.0,1.0,4.0,80.0,50.0,2.0,4.0,24.0,0.0,0.0,1.0,4.0,3.0,1.0,13.0,0.0,34.0,0.0,4.0,0.0,0.0
93,"Philadelphia, PA",Philadelphia,PA,74.8,67.0,66.7,1526006,1619078.0,83194.0,19.461475587181766,High,1517550.0,0.06690257322658232,Limited or Decline,10796.6,0.6279476872348702,0.37205231276512973,423,0.12977618578262856,0.9520632258423872,0.9632008616257022,0.9651582810700645,0.9343143763369477,0.9499622197968265,0.9478558199173671,0.9775474956822107,0.9343143763369477,0.958996399880904,0.9386502733529419,0.955592411821384,0.9476352813852814,0.9513069564103971,0.9570388715744783,0.9544927646150266,0.9353061256413465,-0.24141195606054566,0.44013983199168294,-0.020198621543607076,-0.3350964825234052,-0.29320547445975376,nan,-0.0006491328547679753,nan,nan,0.44087277209920095,0.008376926966783937,688,725,271.0,19.0,0.0,19.0,0.0,766.0,0.0,0.0,18.0,792.0,7.0,9.0,140.0,259.0,52.0,191.0,348.0,0.0,0.0,5.0,105.0,72.0,1.0,87.6,158.6,28.0,0.0,27.0,58.1,51.2
94,"Pittsburgh, PA",Pittsburgh,PA,62.4,55.2,54.9,305704,305298.0,35353.0,8.635702769213362,Medium-High,334563.0,-0.08747231463132504,Limited or Decline,4975,0.8034170854271356,0.1965829145728643,162,0.14072355952818713,0.9199744463373082,0.9137782953635636,0.9316480957924497,0.9030178728391445,0.9207832665776591,0.9172283066554339,0.9574468085106383,0.9030178728391445,0.9144038629041124,0.9234829483771946,0.9174917491749175,0.9188764903050617,0.9330255286276341,0.9133074913906404,0.9236527495816481,0.9144115218787268,-0.20508151865405333,0.33574067818101994,-0.15814779410533897,0.14667395447577403,-0.33308590420476025,nan,0.22511684645193397,nan,nan,0.7448935477824179,-0.24935811185108292,103,236,69.0,15.0,0.0,15.0,5.0,226.0,0.0,0.0,7.0,215.0,13.0,7.0,190.0,120.0,5.0,28.0,88.0,0.0,22.0,3.0,30.0,24.0,2.0,40.0,167.0,10.0,0.0,29.0,0.0,0.0
95,"Omaha, NE",Omaha,NE,48.2,24.0,41.7,408958,497645.0,88886.0,5.598688207366739,Medium-Low,390112.0,0.2756464810105816,Medium Fast,10336,0.576625386996904,0.423374613003096,259,0.11628377922282475,0.8166115473179189,0.8029658889298028,0.859512534102023,0.7965927574693947,0.830791229742612,0.8182258419546555,0.8188976377952756,0.7965927574693947,0.8280649816430041,0.8095536018448154,0.8097615006185448,0.8169497650885436,0.8133569118157297,0.8271567204095668,0.8178183835511945,0.7933399549017502,-0.30753220344199717,0.6499800636319819,-0.11097085543192609,-0.17806474644728865,-0.18754770749678473,nan,-0.2881950261241286,nan,nan,0.32572547688865594,0.058279960855134094,238,293,185.0,71.0,31.0,40.0,19.0,337.0,0.0,0.0,4.0,50.0,17.0,4.0,0.0,195.0,3.0,17.0,57.0,0.0,2.0,4.0,12.0,18.0,4.0,712.0,28.0,127.0,2.0,3.0,0.0,0.0
96,"Lincoln, NE",Lincoln,NE,44.1,24.3,58.5,258379,297371.0,60213.0,4.938651121850763,Medium-Low,225442.0,0.3190576733705343,Medium Fast,3808.12,0.16023654716763125,0.8397634528323688,148,0.06324414993439954,0.8970082669535627,0.887115165336374,0.9211702722120221,0.8674858362151424,0.9249812453113279,0.9113673079747393,0.9367088607594937,0.8674858362151424,0.9020300345879365,0.8954006926862113,0.9180612056213018,0.904722960539767,0.8822899717393166,0.9016291591881817,0.8950514055562753,0.896974197141266,-0.08268243369631878,0.30670705937115406,-0.047284680605095164,-0.047284680605095164,-0.1897650189468837,nan,0.08404823049222698,nan,nan,0.4433474789264249,-0.10737297308758298,82,127,59.0,51.0,41.0,10.0,31.0,98.0,166.0,0.0,5.0,66.0,2.0,4.0,108.0,133.0,0.0,11.0,26.0,0.0,39.0,2.0,2.0,9.0,4.0,174.82,7.76,54.0,0.0,9.0,0.0,0.0
97,"Wichita, KS",Wichita,KS,34.8,19.7,43.9,382368,399769.0,101231.0,3.9490768638065417,Low,343997.0,0.16212932089524038,Medium Slow,4327,0.1823434250057777,0.8176565749942223,129,0.04274382353231718,0.5233930500185273,0.6302126216883809,0.6318056153707229,0.41224511871923847,0.5371642723297939,0.523936170212766,0.5966587112171837,0.41224511871923847,0.5879693997792894,0.476317235928209,0.6381457840254369,0.5574494949494949,0.4442769298527942,0.5312700618023284,0.52156101169834,0.5161947375450782,0.09456981538837805,-0.20622276958688013,0.10282369181330409,0.682097791342801,-0.2855455100334132,nan,0.09304386069218507,nan,nan,0.13275597039113696,0.842258849063068,211,177,70.0,30.0,6.0,24.0,0.0,121.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,87.0,0.0,9.0,69.0,0.0,2.0,4.0,11.0,6.0,7.0,88.53,12.26,8.0,0.0,15.0,0.0,0.0
98,"Anchorage, AK",Anchorage,AK,30.9,21.6,51.8,291826,290509.0,1087624.0,0.26710425661809595,Low,260283.0,0.11612744589542921,Medium Slow,871794.8,0.9972275585952107,0.002772441404789292,246,0.8015589946525637,0.7555034532146226,0.7908010787958306,0.747721403615373,0.8231496176597893,0.7587238285144566,0.7787043978010995,0.8752346142447891,0.8231496176597893,0.7982343833740249,0.7187183724713991,0.8194747257907624,0.787887467379543,0.7308300724336025,0.7394240210914276,0.756652651262786,0.7818458174448681,-0.35660406402945355,0.233400653502162,-0.017599425610013153,-0.30937733486786967,-0.4068267040002729,nan,-0.3793948532977466,-0.24632817717727318,-0.18278948381150828,0.515446305234482,-0.242514800004637,122,6,34.0,10.0,0.0,10.0,10.0,51.0,6.0,1.0,5.0,242.0,0.0,8.0,0.0,90.0,0.0,3.0,40.0,5.0,0.0,5.0,0.0,5.0,2.0,135.0,0.0,0.0,0.0,2.0,0.0,0.0
99,"Boise, ID",Boise City,ID,38.5,22.6,62.3,205671,240861.0,52046.0,4.627848441763056,Medium-Low,185937.0,0.29539037415898933,Medium Fast,4227,0.5739295008280104,0.4260704991719896,147,0.08121661607039926,0.701237397856309,0.6871823828345568,0.6525245284709467,0.6961359745659086,0.7142857142857143,0.7084301875096854,0.6870451237263464,0.6961359745659086,0.6800622394682752,0.7072092934554589,0.7453472679910869,0.6932464058843196,0.7038341239099364,0.6821590867107548,0.7116313507033811,0.6900580368407772,0.206330549746226,1.771331442359028,0.002940811510981023,-0.4893834809026457,-0.2721297624681689,nan,0.766957846667967,nan,nan,1.847377407436714,-0.2532869530982751,118,177,80.0,34.0,12.0,22.0,10.0,56.0,162.0,1.0,5.0,115.0,2.0,18.0,138.0,83.0,0.0,7.0,79.0,0.0,6.0,4.0,6.0,7.0,2.0,34.1,49.0,0.0,0.0,4.0,0.13,0.0
100,"Albuquerque, NM",Albuquerque,NM,42.6,28.6,60.9,545852,567242.0,113711.0,4.988453183948782,Medium-Low,448627.0,0.2643955892088528,Medium Fast,22157,0.8502504851739856,0.14974951482601434,300,0.19485362014229055,0.905035307015962,0.8996966019417476,0.9011183406345615,0.8978146950607648,0.9129098360655737,0.9108214890451024,0.8959183673469387,0.8978146950607648,0.9011413211376832,0.9114813462942329,0.8943655589123867,0.9100918211188573,0.9148753750995162,0.9037146187512372,0.9063925613386653,0.9020902451576169,-0.17514311028393326,0.6108250376106541,-0.059129906456573345,-0.16606752026905514,-0.1616966530673546,nan,-0.21122923317755116,nan,-0.18147784360788544,0.11645310720311408,-0.1477815508837761,,,152.0,24.0,0.0,24.0,0.0,280.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,183.0,0.0,31.0,73.0,0.0,0.0,6.0,4.0,12.0,3.0,160.0,0.0,0.0,0.0,20.0,0.0,0.0
101,"Washington, DC",Washington D.C.,DC,76.7,68.7,69.5,601723,706367.0,39004.0,18.110116911086042,High,572059.0,0.2347799789881813,Medium Fast,9296.21,0.4757519462232458,0.5242480537767543,501,0.2383399138549892,0.9881843631358947,0.9840384143563142,0.9912072540154373,0.9943888471105455,0.9911212582445459,0.9864354725190351,0.9694444444444444,0.9943888471105455,0.9863988095238095,0.9910877308509684,0.9885680907877169,0.991601116761854,0.9947029120718777,0.9834962971534367,0.9895240985027254,0.9885046798395484,0.44688368228974795,0.352152006576673,0.652716927901821,-0.46106986177007714,-0.187387448249146,nan,-0.24395130168772816,nan,nan,0.3214050400148929,0.5171356667786,127,274,206.0,58.0,53.0,5.0,33.0,487.0,22.0,0.0,55.0,2271.0,36.0,19.0,229.0,141.0,3.0,69.0,194.0,4.0,1.0,6.0,37.0,33.0,0.0,1649.05,6.1,25.0,3.0,39.0,0.0,0.0
